"BAIRRO","2020-02-04","2020-03-04","2020-03-05","2020-03-06","2020-03-09","2020-03-12","2020-03-13","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-09","2020-05-10","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-16","2020-05-17","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-25","NA"
"MACEIO"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 4"," 4"," 5"," 5"," 5"," 5"," 5"," 7"," 7"," 7"," 7"," 7"," 7"," 9"," 9"," 9","11","11","11","11","11","11","12","12","12","12","12","12","12","12","12","12","12"
"MARAVISTA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 2"," 2"," 3"," 3"," 4"," 4"," 4"," 5"," 6"," 6"," 7"," 7"," 7"," 7"," 7","10","10","10","10","10","10","10","10","10","10","10","10"
"MARIA PAULA"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 4"," 4"," 4"," 6"," 6"," 7"," 7"," 7"," 7"," 8"," 9"," 9"," 9","10","11","11","13","14","14","14","14","14","14","15","15","15","15","15","15","18","20","21","21","21","21","21","21","21","21","21","21","23"
"MARTINS TORRES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"MATAPACA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","4","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","8"
"MURIQUI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2"
"PE PEQUENO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4"
"PIRATININGA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 3"," 3"," 3"," 4"," 5"," 6"," 6"," 7"," 7"," 7"," 7"," 7"," 8"," 9","10","13","13","13","15","15","15","16","17","19","19","21","22","26","30","31","31","31","36","39","49","51","53","53","53","55","57","64","67","68","68","76","77","77","77","77","77","77","79"
"PONTA DA AREIA"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 2"," 2"," 5"," 5"," 5"," 5"," 5"," 6"," 6"," 8"," 9","10","10","11","11","11","11","11","11","14","14","14","14","14","14","14","14","14","14","14"
"RIO DO OURO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","4"
